"case_name","case_id","original_status","corrected_status","boundary","last_layer","last_classes","next_method"
"R(1,1)","R1_1","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,2)","R1_2","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,3)","R1_3","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,4)","R1_4","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,5)","R1_5","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,6)","R1_6","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,7)","R1_7","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,8)","R1_8","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,9)","R1_9","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(1,10)","R1_10","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(2,1)","R2_1","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(2,2)","R2_2","BOUNDARY_FOUND","BOUNDARY_FOUND","2","2","0","DONE_V01"
"R(2,3)","R2_3","BOUNDARY_FOUND","BOUNDARY_FOUND","3","3","0","DONE_V01"
"R(2,4)","R2_4","BOUNDARY_FOUND","BOUNDARY_FOUND","4","4","0","DONE_V01"
"R(2,5)","R2_5","BOUNDARY_FOUND","BOUNDARY_FOUND","5","5","0","DONE_V01"
"R(2,6)","R2_6","BOUNDARY_FOUND","BOUNDARY_FOUND","6","6","0","DONE_V01"
"R(2,7)","R2_7","BOUNDARY_FOUND","BOUNDARY_FOUND","7","7","0","DONE_V01"
"R(2,8)","R2_8","BOUNDARY_FOUND","BOUNDARY_FOUND","8","8","0","DONE_V01"
"R(2,9)","R2_9","BOUNDARY_FOUND","BOUNDARY_FOUND","9","9","0","DONE_V01"
"R(2,10)","R2_10","BOUNDARY_FOUND","BOUNDARY_FOUND","10","10","0","DONE_V01"
"R(3,1)","R3_1","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(3,2)","R3_2","BOUNDARY_FOUND","BOUNDARY_FOUND","3","3","0","DONE_V01"
"R(3,3)","R3_3","STOP_MAX_N","CLOSED_BY_V01_SHADOW_BOUNDARY",,"12","0","DONE_V01"
"R(3,4)","R3_4","STOP_MAX_N","CLOSED_BY_V01_SHADOW_BOUNDARY",,"12","0","DONE_V01"
"R(3,5)","R3_5","STOP_MAX_N","CLOSED_BY_V01_SHADOW_BOUNDARY",,"12","0","DONE_V01"
"R(4,1)","R4_1","BOUNDARY_FOUND_TRIVIAL","BOUNDARY_FOUND_TRIVIAL","1","1","0","DONE_V01"
"R(4,2)","R4_2","BOUNDARY_FOUND","BOUNDARY_FOUND","4","4","0","DONE_V01"
"R(4,3)","R4_3","STOP_MAX_N","CLOSED_BY_V01_SHADOW_BOUNDARY",,"12","0","DONE_V01"
