case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(3,8)",3,8,1,1,0,2,"{""0"": 2}"
"R(3,8)",3,8,2,2,0,3,"{""0"": 7, ""1"": 1}"
"R(3,8)",3,8,3,3,0,6,"{""0"": 19, ""1"": 4, ""2"": 1}"
"R(3,8)",3,8,4,6,0,10,"{""0"": 62, ""1"": 23, ""2"": 9, ""3"": 1, ""4"": 1}"
"R(3,8)",3,8,5,10,0,25,"{""0"": 182, ""1"": 82, ""2"": 39, ""3"": 13, ""4"": 3, ""5"": 1}"
"R(3,8)",3,8,6,25,0,63,"{""0"": 724, ""1"": 431, ""2"": 266, ""3"": 116, ""4"": 46, ""5"": 13, ""6"": 4}"
"R(3,8)",3,8,7,63,0,172,"{""0"": 2881, ""1"": 2053, ""2"": 1575, ""3"": 841, ""4"": 429, ""5"": 181, ""6"": 75, ""7"": 21, ""8"": 7, ""9"": 1}"
"R(3,8)",3,8,8,172,0,3228,"{""0"": 12203, ""1"": 10496, ""2"": 8931, ""3"": 5863, ""4"": 3423, ""5"": 1779, ""6"": 839, ""7"": 333, ""8"": 127, ""9"": 35, ""10"": 3}"
"R(3,8)",3,8,9,3228,0,97862,"{""0"": 412851, ""1"": 392864, ""2"": 331535, ""3"": 232611, ""4"": 141678, ""5"": 76263, ""6"": 37661, ""7"": 16964, ""8"": 6886, ""9"": 2461, ""10"": 751, ""11"": 187, ""12"": 24}"
"R(3,8)",3,8,10,97862,0,111989,"{""0"": 638411, ""1"": 753868, ""2"": 682399, ""3"": 507443, ""4"": 330675, ""5"": 193601, ""6"": 102607, ""7"": 49589, ""8"": 21710, ""9"": 8577, ""10"": 3024, ""11"": 913, ""12"": 244, ""13"": 48, ""14"": 9, ""15"": 1}"
