case,n,elapsed_sec,method,status
"R(3,6)",1,0.0,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",2,0.021322,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",3,0.041501,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",4,0.062089,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",5,0.082691,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",6,0.103306,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",7,0.123674,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",8,0.14401,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",9,0.164532,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",10,0.184862,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",11,0.205617,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",12,0.226127,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",13,0.246688,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",14,0.267345,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",15,0.288354,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",16,0.309077,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",17,0.329328,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",18,0.350273,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",19,0.370938,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
"R(3,6)",20,0.391548,MDO_SPEEDUP_D13R_V21_PROTOCOL,WAITING_FOR_ENGINE_BINDING
