instance,method,pass,elapsed_sec,tour_length,accepted_moves,moves_checked
dsj1000,two_opt,0,0.0,24631468,0,0
dsj1000,two_opt,1,0.031004,24558118,1,38046
dsj1000,two_opt,2,0.059169,24479264,2,76092
dsj1000,two_opt,3,0.088249,24407187,3,114138
dsj1000,two_opt,4,0.117366,24326532,4,152182
dsj1000,two_opt,5,0.145519,24230813,5,190227
dsj1000,two_opt,6,0.174644,24138553,6,228272
dsj1000,two_opt,7,0.204726,24038033,7,266318
dsj1000,two_opt,8,0.2394,23949940,8,304363
dsj1000,two_opt,9,0.27207,23891741,9,342407
dsj1000,two_opt,10,0.302327,23762704,10,380451
dsj1000,two_opt,11,0.331366,23715414,11,418493
dsj1000,two_opt,12,0.360583,23652876,12,456536
dsj1000,two_opt,13,0.391089,23596185,13,494577
dsj1000,two_opt,14,0.42057,23544657,14,532618
dsj1000,two_opt,15,0.449298,23498543,15,570659
dsj1000,two_opt,16,0.476909,23453173,16,608698
dsj1000,two_opt,17,0.504048,23411569,17,646736
dsj1000,two_opt,18,0.532665,23370514,18,684774
dsj1000,two_opt,19,0.560976,23332639,19,722810
dsj1000,two_opt,20,0.588647,23246794,20,760845
dsj1000,two_opt,21,0.618736,23195720,21,798880
dsj1000,two_opt,22,0.646163,23158223,22,836913
dsj1000,two_opt,23,0.673772,23121300,23,874946
dsj1000,two_opt,24,0.703295,23085262,24,912979
dsj1000,two_opt,25,0.730366,23050385,25,951013
dsj1000,two_opt,26,0.75969,23015919,26,989047
dsj1000,two_opt,27,0.788305,22982159,27,1027081
dsj1000,two_opt,28,0.817029,22948853,28,1065115
dsj1000,two_opt,29,0.850348,22916262,29,1103149
dsj1000,two_opt,30,0.883961,22842151,30,1141183
dsj1000,two_opt,31,0.918072,22790968,31,1179217
dsj1000,two_opt,32,0.949795,22719168,32,1217251
dsj1000,two_opt,33,0.984955,22687914,33,1255284
dsj1000,two_opt,34,1.014674,22656840,34,1293316
dsj1000,two_opt,35,1.044523,22625344,35,1331348
dsj1000,two_opt,36,1.07327,22594744,36,1369380
dsj1000,two_opt,37,1.101172,22564266,37,1407412
dsj1000,two_opt,38,1.130781,22484132,38,1445443
dsj1000,two_opt,39,1.159045,22431493,39,1483474
dsj1000,two_opt,40,1.188774,22392570,40,1521506
dsj1000,two_opt,41,1.220018,22340634,41,1559539
dsj1000,two_opt,42,1.25362,22231124,42,1597572
dsj1000,two_opt,43,1.282276,22183084,43,1635605
dsj1000,two_opt,44,1.313361,22153068,44,1673637
dsj1000,two_opt,45,1.343104,22123184,45,1711669
dsj1000,two_opt,46,1.372252,22093603,46,1749701
dsj1000,two_opt,47,1.400843,22064533,47,1787731
dsj1000,two_opt,48,1.432621,22035736,48,1825759
dsj1000,two_opt,49,1.461355,22007925,49,1863785
dsj1000,two_opt,50,1.490929,21981494,50,1901809
dsj1000,two_opt,51,1.519109,21955067,51,1939833
dsj1000,two_opt,52,1.547719,21929048,52,1977857
dsj1000,two_opt,53,1.576549,21903997,53,2015880
dsj1000,two_opt,54,1.6042,21880403,54,2053902
dsj1000,two_opt,55,1.631813,21857319,55,2091924
dsj1000,two_opt,56,1.659536,21834236,56,2129946
dsj1000,two_opt,57,1.687822,21811627,57,2167968
dsj1000,two_opt,58,1.717541,21789307,58,2205989
dsj1000,two_opt,59,1.744698,21767205,59,2244010
dsj1000,two_opt,60,1.771915,21745606,60,2282031
dsj1000,two_opt,61,1.800609,21725650,61,2320052
dsj1000,two_opt,62,1.829889,21706994,62,2358073
dsj1000,two_opt,63,1.857611,21681978,63,2396093
dsj1000,two_opt,64,1.884842,21663447,64,2434113
dsj1000,two_opt,65,1.915034,21644934,65,2472133
dsj1000,two_opt,66,1.943185,21627016,66,2510153
dsj1000,two_opt,67,1.97137,21596411,67,2548173
dsj1000,two_opt,68,2.005573,21504194,68,2586193
dsj1000,two_opt,69,2.034653,21486588,69,2624212
dsj1000,two_opt,70,2.063851,21469355,70,2662231
dsj1000,two_opt,71,2.093042,21452183,71,2700250
dsj1000,two_opt,72,2.123629,21436006,72,2738269
dsj1000,two_opt,73,2.152241,21420102,73,2776288
dsj1000,two_opt,74,2.180618,21394090,74,2814305
dsj1000,two_opt,75,2.208228,21378216,75,2852322
dsj1000,two_opt,76,2.238413,21349035,76,2890339
dsj1000,two_opt,77,2.267213,21333184,77,2928355
dsj1000,two_opt,78,2.296284,21317478,78,2966371
dsj1000,two_opt,79,2.325623,21301863,79,3004387
dsj1000,two_opt,80,2.355732,21282403,80,3042402
dsj1000,two_opt,81,2.383277,21266913,81,3080417
dsj1000,two_opt,82,2.411295,21252141,82,3118432
dsj1000,two_opt,83,2.439579,21238241,83,3156447
dsj1000,two_opt,84,2.467331,21224469,84,3194462
dsj1000,two_opt,85,2.495937,21211586,85,3232477
dsj1000,two_opt,86,2.523135,21198808,86,3270492
dsj1000,two_opt,87,2.552323,21186500,87,3308507
dsj1000,two_opt,88,2.582803,21174883,88,3346522
dsj1000,two_opt,89,2.611314,21164078,89,3384537
dsj1000,two_opt,90,2.639939,21141265,90,3422551
dsj1000,two_opt,91,2.668739,21130607,91,3460565
dsj1000,two_opt,92,2.696351,21120072,92,3498579
dsj1000,two_opt,93,2.724141,21109992,93,3536593
dsj1000,two_opt,94,2.751326,21100142,94,3574607
dsj1000,two_opt,95,2.781638,21090598,95,3612621
dsj1000,two_opt,96,2.809334,21081156,96,3650635
dsj1000,two_opt,97,2.83795,21055339,97,3688649
dsj1000,two_opt,98,2.866175,21026228,98,3726662
dsj1000,two_opt,99,2.893821,20990905,99,3764675
dsj1000,two_opt,100,2.922545,20973231,100,3802687
dsj1000,two_opt,101,2.951231,20958941,101,3840697
dsj1000,two_opt,102,2.978958,20949623,102,3878707
dsj1000,two_opt,103,3.013549,20940489,103,3916717
dsj1000,two_opt,104,3.042314,20931612,104,3954727
dsj1000,two_opt,105,3.070408,20920690,105,3992737
dsj1000,two_opt,106,3.09902,20911928,106,4030747
dsj1000,two_opt,107,3.128591,20903290,107,4068757
dsj1000,two_opt,108,3.158142,20881539,108,4106767
dsj1000,two_opt,109,3.187935,20872957,109,4144777
dsj1000,two_opt,110,3.217952,20864769,110,4182787
dsj1000,two_opt,111,3.247168,20856771,111,4220797
dsj1000,two_opt,112,3.275355,20849253,112,4258807
dsj1000,two_opt,113,3.304576,20841833,113,4296817
dsj1000,two_opt,114,3.335725,20834418,114,4334827
dsj1000,two_opt,115,3.363889,20827317,115,4372837
dsj1000,two_opt,116,3.391615,20820292,116,4410847
dsj1000,two_opt,117,3.421448,20813356,117,4448857
dsj1000,two_opt,118,3.450179,20806426,118,4486867
dsj1000,two_opt,119,3.478993,20799515,119,4524877
dsj1000,two_opt,120,3.506501,20792912,120,4562887
dsj1000,mcdo,0,0.0,24631468,0,0
dsj1000,mcdo,1,0.010186,24558118,1,11433
dsj1000,mcdo,2,0.01898,24479264,2,22866
dsj1000,mcdo,3,0.028984,24407187,3,34299
dsj1000,mcdo,4,0.038591,24326532,4,45730
dsj1000,mcdo,5,0.048628,24230813,5,57161
dsj1000,mcdo,6,0.058631,24138553,6,68594
dsj1000,mcdo,7,0.068745,24038033,7,80026
dsj1000,mcdo,8,0.077859,23949940,8,91459
dsj1000,mcdo,9,0.087881,23891741,9,102891
dsj1000,mcdo,10,0.096934,23762704,10,114327
dsj1000,mcdo,11,0.106934,23715414,11,125758
dsj1000,mcdo,12,0.11563,23652876,12,137191
dsj1000,mcdo,13,0.127636,23596185,13,148624
dsj1000,mcdo,14,0.138141,23544657,14,160055
dsj1000,mcdo,15,0.148653,23498543,15,171487
dsj1000,mcdo,16,0.158687,23453173,16,182918
dsj1000,mcdo,17,0.16826,23411569,17,194349
dsj1000,mcdo,18,0.178028,23370514,18,205780
dsj1000,mcdo,19,0.188046,23332639,19,217208
dsj1000,mcdo,20,0.198102,23246794,20,228633
dsj1000,mcdo,21,0.208071,23195720,21,240058
dsj1000,mcdo,22,0.217676,23158223,22,251483
dsj1000,mcdo,23,0.22799,23121300,23,262908
dsj1000,mcdo,24,0.237565,23085262,24,274331
dsj1000,mcdo,25,0.247604,23050385,25,285754
dsj1000,mcdo,26,0.257605,23015919,26,297177
dsj1000,mcdo,27,0.267183,22982159,27,308603
dsj1000,mcdo,28,0.276759,22948853,28,320029
dsj1000,mcdo,29,0.286333,22916262,29,331451
dsj1000,mcdo,30,0.295332,22842151,30,342873
dsj1000,mcdo,31,0.305338,22790968,31,354297
dsj1000,mcdo,32,0.314912,22719168,32,365719
dsj1000,mcdo,33,0.325061,22687914,33,377141
dsj1000,mcdo,34,0.334171,22656840,34,388562
dsj1000,mcdo,35,0.345208,22625344,35,399984
dsj1000,mcdo,36,0.355243,22594744,36,411406
dsj1000,mcdo,37,0.364817,22564266,37,422828
dsj1000,mcdo,38,0.373248,22484132,38,434250
dsj1000,mcdo,39,0.383284,22431493,39,445672
dsj1000,mcdo,40,0.392404,22392570,40,457096
dsj1000,mcdo,41,0.401407,22340634,41,468521
dsj1000,mcdo,42,0.410441,22231124,42,479946
dsj1000,mcdo,43,0.420016,22183084,43,491369
dsj1000,mcdo,44,0.429524,22153068,44,502791
dsj1000,mcdo,45,0.440063,22123184,45,514213
dsj1000,mcdo,46,0.449639,22093603,46,525635
dsj1000,mcdo,47,0.459209,22064533,47,537056
dsj1000,mcdo,48,0.46878,22035736,48,548476
dsj1000,mcdo,49,0.478354,22007925,49,559895
dsj1000,mcdo,50,0.487353,21981494,50,571314
dsj1000,mcdo,51,0.496429,21955067,51,582734
dsj1000,mcdo,52,0.509433,21929048,52,594154
dsj1000,mcdo,53,0.521446,21903997,53,605572
dsj1000,mcdo,54,0.53205,21880403,54,616989
dsj1000,mcdo,55,0.541945,21857320,55,628406
dsj1000,mcdo,56,0.551032,21834236,56,639823
dsj1000,mcdo,57,0.561065,21811627,57,651240
dsj1000,mcdo,58,0.571614,21789307,58,662656
dsj1000,mcdo,59,0.580649,21767205,59,674072
dsj1000,mcdo,60,0.590707,21745606,60,685488
dsj1000,mcdo,61,0.600319,21725650,61,696905
dsj1000,mcdo,62,0.610287,21706994,62,708321
dsj1000,mcdo,63,0.620298,21681978,63,719737
dsj1000,mcdo,64,0.630298,21663447,64,731152
dsj1000,mcdo,65,0.639382,21644934,65,742567
dsj1000,mcdo,66,0.649413,21627016,66,753982
dsj1000,mcdo,67,0.658949,21596411,67,765397
dsj1000,mcdo,68,0.668526,21504194,68,776811
dsj1000,mcdo,69,0.678563,21486588,69,788225
dsj1000,mcdo,70,0.688572,21469355,70,799639
dsj1000,mcdo,71,0.698145,21452183,71,811053
dsj1000,mcdo,72,0.707182,21436006,72,822468
dsj1000,mcdo,73,0.716758,21420132,73,833883
dsj1000,mcdo,74,0.726793,21390951,74,845298
dsj1000,mcdo,75,0.735368,21375047,75,856712
dsj1000,mcdo,76,0.744976,21349035,76,868124
dsj1000,mcdo,77,0.754944,21333184,77,879536
dsj1000,mcdo,78,0.765095,21317478,78,890948
dsj1000,mcdo,79,0.775066,21301863,79,902360
dsj1000,mcdo,80,0.785065,21282403,80,913771
dsj1000,mcdo,81,0.795641,21266913,81,925182
dsj1000,mcdo,82,0.804645,21252141,82,936593
dsj1000,mcdo,83,0.815252,21238241,83,948004
dsj1000,mcdo,84,0.824898,21224469,84,959415
dsj1000,mcdo,85,0.834438,21211586,85,970826
dsj1000,mcdo,86,0.843985,21198808,86,982237
dsj1000,mcdo,87,0.853985,21186500,87,993648
dsj1000,mcdo,88,0.863021,21174883,88,1005059
dsj1000,mcdo,89,0.872596,21164078,89,1016470
dsj1000,mcdo,90,0.881172,21141265,90,1027881
dsj1000,mcdo,91,0.890711,21130607,91,1039292
dsj1000,mcdo,92,0.90089,21120072,92,1050703
dsj1000,mcdo,93,0.910545,21109992,93,1062114
dsj1000,mcdo,94,0.919122,21100142,94,1073525
dsj1000,mcdo,95,0.928705,21090598,95,1084936
dsj1000,mcdo,96,0.938276,21081156,96,1096347
dsj1000,mcdo,97,0.947396,21055339,97,1107758
dsj1000,mcdo,98,0.956437,21026228,98,1119167
dsj1000,mcdo,99,0.965437,20990905,99,1130577
dsj1000,mcdo,100,0.975487,20973231,100,1141986
dsj1000,mcdo,101,0.984981,20958941,101,1153393
dsj1000,mcdo,102,0.996117,20949623,102,1164800
dsj1000,mcdo,103,1.005117,20940489,103,1176207
dsj1000,mcdo,104,1.015154,20931612,104,1187614
dsj1000,mcdo,105,1.024661,20920690,105,1199021
dsj1000,mcdo,106,1.033661,20911928,106,1210428
dsj1000,mcdo,107,1.043743,20903290,107,1221835
dsj1000,mcdo,108,1.052744,20881539,108,1233242
dsj1000,mcdo,109,1.062899,20872957,109,1244649
dsj1000,mcdo,110,1.071897,20864769,110,1256056
dsj1000,mcdo,111,1.081509,20856771,111,1267463
dsj1000,mcdo,112,1.089513,20849253,112,1278870
dsj1000,mcdo,113,1.099665,20841833,113,1290277
dsj1000,mcdo,114,1.108703,20834418,114,1301684
dsj1000,mcdo,115,1.117701,20827317,115,1313091
dsj1000,mcdo,116,1.127279,20820292,116,1324498
dsj1000,mcdo,117,1.136853,20813362,117,1335905
dsj1000,mcdo,118,1.14543,20806451,118,1347312
dsj1000,mcdo,119,1.155465,20799848,119,1358719
dsj1000,mcdo,120,1.164039,20793505,120,1370126
